
Name                                                                            Value
----                                                                            -----
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapSpot                  1.0.0.2
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN11                                1.0.25.317
Microsoft.Azure.KeyVault.Edp.KeyVaultForLinux                                   1.0.1265.21
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxRHEL9                       1.0.0.9256
Qualys.QualysAgentLinux                                                         1.6.1.5
turtletraction.oss.salt-minion.windows                                          1.1.0.0
Microsoft.Azure.SiteRecovery.Test.LinuxSLES11SP3Test                            1.5.25.333
Microsoft.Azure.Security.Edp.AzureDiskEncryptionForLinux                        1.4.0.23
Microsoft.Azure.ServiceFabric.MC.ServiceFabricMCNodeArm                         1.5.0.0
Microsoft.Azure.Extensions.ElasticSANExtension.ESANWindowsOSExtension           1.12
Microsoft.SoftwareUpdateManagement.Test.LinuxOsUpdateExtension                  2.10.6.0
Microsoft.Test.Azure.Workloads.MonitoringExtensionWindows                       1.0.95.2
Microsoft.Azure.SiteRecovery2.Test.LinuxRHEL10                                  1.5.25.333
Symantec.CloudWorkloadProtection.Test.SCWPAgentForLinuxTest                     3.0.4.0
Microsoft.ServicesHub.ExchangeOnlineAssessment                                  1.12
Microsoft.Azure.Reliability.Watson.AzureWatsonAgentForLinux                     1.2307.0.0
Microsoft.Azure.SCOMMI.WindowsAgent                                             1.0.38.0
Microsoft.Azure.ServiceFabric.MC.Test.ServiceFabricMCNode-Test                  1.5.0.0
Microsoft.AzureVirtualDesktop.CloudDeviceExtension-Test                         1.0.1
Microsoft.Azure.Performance.Diagnostics.AzurePerformanceDiagnosticsLinux        1.1.47
CloudLinkEMC.SecureVM.CloudLinkSecureVMWindowsAgent                             6.8.93.0
McAfee.EndpointSecurity.McAfeeEndpointSecurity                                  6.0
SentinelOne.LinuxExtension.LinuxExtension                                       1.2.2
Microsoft.SystemCenter.MSEnterpriseApplication                                  1.0.5.0
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNodeApatrusheva     2.0.0.2
Microsoft.Azure.Monitor.Workloads.Workload.WLILinuxExtension                    0.4.20
Microsoft.Azure.ServiceFabric.MC.PrivateTest.ServiceFabricMCNodeMarTest         1.39.0.0
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxRHEL8                       1.0.0.9256
Dh2ico.DxEnterpriseForWindows                                                   20.0.246
Microsoft.Azure.Diagnostics.ApplicationMonitoringWindows                        2.8.47.398
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SfmcSetupAlsantam                  1.3.0.1
Microsoft.Azure.SiteRecovery.Test.LinuxOL6Test                                  1.5.25.333
Microsoft.Azure.Monitoring.DependencyAgent.DependencyAgentLinux                 9.10.18.4770
Microsoft.HpcPack.LinuxNodeAgent                                                1.7.11.2
CloudLinkEMC.SecureVM.CloudLinkSecureVMLinuxAgent                               6.8.93.0
Microsoft.Azure.Security.LinuxAttestation.GuestAttestation                      1.0.1.42
Microsoft.Compute.JsonADDomainExtension                                         1.3.14
Microsoft.Azure.Security.WindowsCodeIntegrity.TestAzureCodeIntegrityVmExtension 1.0.0.34
Microsoft.Azure.SiteRecovery.Stage.LinuxRHEL7                                   1.0.25.317
Microsoft.Powershell.Test.DSC                                                   3.1.1
Rapid7.InsightPlatform.InsightAgentWindows                                      2.0.0.7
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNodealsantam-Test        1.1.0.40
KevlarExtensions.M365Security.SecureOS.SecureOSExtension                        1.10.0.0
Microsoft.Azure.Security.WindowsCodeIntegrity.CodeIntegrityAgent                1.0.0.25
Microsoft.AKS.Compute.AKS.Windows.Billing                                       1.0.0
hpe.serviceguard.ha.dr.HPEServiceguardforLinux                                  2.0.0.2
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxSLES11SP4                    1.0.0.9256
StatusReport.Diagnostics.Test.IaaSDiagnostics                                   0.27.0.0
microsoft.o3fnet.LkgDnsPluginGenevaAgentLauncherExtension                       1.3.0.0
Microsoft.CloudBackup.Workload.Extension.WorkloadBackupLinux                    1.0.0.19
Microsoft.SoftwareUpdateManagement.Test.WinOsUpdateExtension                    2.3.0.0
Microsoft.Azure.Backup.Test.MyBackupTest                                        1.0.139.0
Microsoft.CloudBackup.Workload.Extension.Edp.WorkloadBackup                     1.3.0.5
Microsoft.OSTCExtensions.Edp.VMAccessForLinux                                   1.5.13
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxOL10                        1.0.0.9256
Rapid7.InsightPlatform.InsightAgentLinux                                        2.0.0.7
Microsoft.SiteRecovery.Dra.Windows                                              1.0.0.8
Microsoft.Azure.SiteRecovery.Test.LinuxOL7                                      1.5.25.333
Microsoft.VisualStudio.Azure.RemoteDebug.VS14CTPDebugger                        1.0.0.6
Microsoft.OSTCExtensions.Test.AzureDiagnosticsLinuxExtIaaS7.Test                1.0.0.0
Microsoft.Azure.Chaos.ChaosWindowsAgent                                         1.2.34
Microsoft.HpcPack.LinuxNodeAgent2016U1                                          16.3.8329.0
Microsoft.Azure.Networking.DNS.DNSClientCache                                   1.7.0
Microsoft.ServicesHub.SFBAssessmentPlus                                         1.2
Microsoft.Azure.Security.Edp.AzureDiskEncryptionForLinuxTest1                   1.4.0.11
Symantec.CloudWorkloadProtection.TestOnStage.SCWPAgentForLinuxTestOnStage       3.7.0.0
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SfmcSetupMarTest                   0.12.0.0
Microsoft.SoftwareUpdateManagement.Test.WindowsOsUpdateExtension                2.11.7.0
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN12                    1.0.0.9256
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNodeapatrusheva-Test     1.8.0.0
